primarySlug,restaurant_name,name,address,rating,latitude,longitude,Star Rating
trend-kebab-pizzeria,Trend Kebab & Pizzeria,Pizza's,Marktstraat 1,5.0,51.0940817,5.7923279,★★★★★
snack-it,Snack-It,Pizza's,Guldensporenlei 10,5.0,51.3253587,4.9383671,★★★★★
munchies-ieper,Munchies Ieper,Pizzas (medium),Neermarkt 4,5.0,50.8507025,2.8851024,★★★★★
la-trca,La Trinacria Bottega,Pizza's,Tomberg 257A,5.0,50.8441446,4.4204038,★★★★★
eethuis-carlos-aarschot,De Echte Eethuis Carlos,Pizza's,Herseltsesteenweg 207,5.0,51.0023083,4.8359204,★★★★★
the-black-horse,The Black Horse,Pizza's,Bergstraat 36,4.9,51.0758523,4.7251002,★★★★☆
royal-donuts-lokeren,Royal Donuts & Bagels,Royal pizza donuts,Dijkstraat 4,4.9,51.0933414,4.0163172,★★★★☆
pyramide-hamont,Pyramide,Vegetarische pizza's,Stationsstraat 61,4.9,51.24612,5.54582,★★★★☆
plaza-snacks,Plaza Snacks,Pizza's,Dorpstraat 49,4.9,51.0229785,5.3137589,★★★★☆
pizzeria-zirar-saint-denis,Pizzeria Zirar Saint-Denis,Nos pizzas junior,Chaussée de Bruxelles 10,4.9,50.8104646,4.3176421,★★★★☆
